Feature,Importance,Target Gene
AT1G51140,0.8311942156333688,AT1G34520
AT1G51140,0.8441742787716628,AT1G80340
AT1G51140,0.8421052631578948,AT2G38230
AT1G51140,0.8204536830364496,AT4G15630
AT1G51140,0.8538437905051195,AT4G18210
AT1G51140,0.8421052631578948,AT5G12010
AT1G68640,0.9378072558421494,AT1G43700
AT2G28450,0.8120555978029272,AT1G51640
AT1G68640,0.9473684210526316,AT1G71030
AT1G68640,0.9473684210526316,AT1G79310
AT1G68640,0.8947368421052633,AT1G79700
AT1G68640,0.8947368421052633,AT2G41240
AT1G68640,0.9473684210526316,AT3G05770
AT1G68640,0.9473684210526316,AT3G07650
AT1G68640,0.8947368421052633,AT3G14020
AT1G68640,0.8947368421052633,AT3G15500
AT1G68640,0.917976961252598,AT3G23240
AT1G68640,0.9473684210526316,AT3G46130
AT1G68640,0.8947368421052633,AT3G53200
AT1G68640,0.8849244826191807,AT3G58710
AT1G68640,0.8947368421052633,AT3G60530
AT1G68640,0.9473684210526316,AT4G00210
AT2G28450,0.8285820944940745,AT4G00940
AT1G68640,0.938581247217252,AT5G10140
AT1G68640,0.9852357206760282,AT5G18030
AT2G28450,0.9473684210526316,AT5G48250
AT1G68640,0.9473684210526316,AT5G59780
AT1G68640,0.8421052631578948,AT5G64770
AT1G68640,0.8947368421052633,AT5G65800
AT5G11260,0.8229648268966281,AT1G09950
AT5G11260,0.8421052631578948,AT1G19380
AT5G11260,0.9910289382379496,AT1G19510
AT5G11260,0.8947368421052633,AT1G20520
AT5G11260,0.8947368421052633,AT1G30135
AT4G17230,0.8084201467655054,AT1G74450
AT4G17230,0.8077716337065932,AT3G02140
AT5G11260,0.8947368421052633,AT3G47960
AT5G11260,0.9406705271318212,AT3G50260
AT5G11260,1.0,AT4G20860
AT4G17230,0.8390030368436778,AT4G25470
AT4G17230,0.8176392803911308,AT5G24590
AT5G11260,0.9473684210526316,AT5G51190
AT5G11260,1.0,AT5G52510
AT2G36080,1.0,AT1G06002
AT1G30330,0.9473684210526316,AT1G07620
AT2G36080,0.8421052631578948,AT1G13110
AT1G30330,0.8947368421052633,AT1G13930
AT2G36080,0.9825561254188384,AT1G19220
AT2G36080,1.0,AT1G22570
AT2G36080,1.0,AT1G29640
AT2G36080,1.0,AT1G30040
AT2G36080,0.8421052631578948,AT1G31350
AT2G36080,0.8947368421052633,AT1G45249
AT2G36080,0.9940876594949786,AT1G48500
AT2G36080,0.8421052631578948,AT1G51820
AT2G36080,1.0,AT1G72416
AT2G36080,1.0,AT1G72790
AT2G36080,1.0,AT1G78600
AT1G30330,0.8421052631578948,AT2G02630
AT2G36080,1.0,AT2G16365
AT1G30330,0.8421052631578948,AT2G28710
AT2G36080,0.9473684210526316,AT2G35940
AT2G36080,1.0,AT2G36080
AT2G36080,1.0,AT2G39420
AT2G36080,0.8947368421052633,AT2G40080
AT1G30330,0.8947368421052633,AT2G42350
AT1G30330,0.8143663125701205,AT2G45680
AT2G36080,0.8947368421052633,AT2G46790
AT1G30330,0.9133608867301428,AT3G02910
AT1G30330,0.8888150786598573,AT3G05800
AT2G36080,0.8947368421052633,AT3G10815
AT2G36080,0.8947368421052633,AT3G11020
AT1G30330,0.8366455805325757,AT3G14810
AT2G36080,0.8421052631578948,AT3G22830
AT2G36080,1.0,AT3G24520
AT2G36080,1.0,AT3G24840
AT2G36080,0.9473684210526316,AT4G17670
AT1G30330,0.8334281965261888,AT4G37430
AT2G36080,1.0,AT5G21120
AT1G30330,0.8846038572956084,AT5G25810
AT2G36080,0.8947368421052633,AT5G35732
AT1G30330,0.8421052631578948,AT5G37260
AT2G36080,0.990766028324774,AT5G42410
AT2G36080,0.8947368421052633,AT5G44110
AT2G36080,0.9243793860661514,AT5G46780
AT2G36080,0.8947368421052633,AT5G54960
AT2G36080,0.9473684210526316,AT5G62430
AT1G30330,0.8421052631578948,AT5G64850
AT5G37020,0.804665457099724,AT1G43700
AT1G04990,0.841582520605654,AT1G58100
AT1G43700,0.955194616511031,AT1G58100
AT1G51140,0.881731180700781,AT1G58100
AT4G36730,0.87384255748488,AT3G48590
AT1G43700,1.0,AT5G63470
