Regulator	Interaction	Target	Weight
AT4G36730	regulates	AT3G61150	0.404313853435443
AT5G37020	regulates	AT4G00050	0.280914075796433
AT4G36730	regulates	AT4G00130	0.309324903260147
AT4G36780	regulates	AT4G00130	0.327634744221494
AT5G37020	regulates	AT4G01250	0.0169637142221913
AT4G36780	regulates	AT4G01540	0.449856707587075
AT4G36730	regulates	AT4G09750	0.241828307155329
AT4G36780	regulates	AT4G11660	0.52852368575181
AT5G37020	regulates	AT4G12000	0.145622713444922
AT5G37020	regulates	AT4G13010	0.402384209006999
AT4G36730	regulates	AT4G15248	0.787877626428387
AT4G36730	regulates	AT4G15300	0.284929526887106
AT4G36780	regulates	AT4G15300	0.258831481257583
AT4G36730	regulates	AT4G15430	0.649464314286722
AT4G36780	regulates	AT4G15630	0.412974008968081
AT5G37020	regulates	AT4G16690	0.149896738781471
AT5G37020	regulates	AT4G17215	0.162807849892557
AT4G36780	regulates	AT4G18210	0.52501184845516
AT5G37020	regulates	AT4G21340	0.275464123343618
AT4G36780	regulates	AT4G21610	0.239491525707014
AT4G36780	regulates	AT4G21870	0.727268550950914
AT1G51140	regulates	AT4G23550	0.809002332314978
AT1G51140	regulates	AT4G24020	0.284951039014748
AT4G36780	regulates	AT4G24110	0.23910946232886
AT4G36730	regulates	AT4G24140	0.74815028684305
AT1G51140	regulates	AT4G24415	0.517134577625861
AT4G36780	regulates	AT4G24700	0.635459333327863
AT4G36780	regulates	AT4G26150	0.662653089141026
AT5G37020	regulates	AT4G26850	0.140215658744343
AT5G37020	regulates	AT4G28110	0.174974841887426
AT5G37020	regulates	AT4G28290	0.2142787373122
AT4G36780	regulates	AT4G30980	0.417592840824457
AT1G51140	regulates	AT4G33070	0.373018589671633
AT5G37020	regulates	AT4G33660	0.381236868664909
AT4G36780	regulates	AT4G36730	0.261829574430791
AT4G36730	regulates	AT4G37760	0.318065491685046
AT4G36730	regulates	AT4G38860	0.361376496313285
AT4G36780	regulates	AT4G38960	0.21491102849166
AT5G37020	regulates	AT4G39070	0.276385584795741
AT1G51140	regulates	AT5G02270	0.225713898943471
AT5G37020	regulates	AT5G02840	0.32384769563337
AT4G36780	regulates	AT5G03555	0.223841659008011
AT5G37020	regulates	AT5G04340	0.270713625812129
AT5G37020	regulates	AT5G05440	0.189578984587498
AT1G51140	regulates	AT5G06530	0.330651758695397
AT4G36730	regulates	AT5G06980	0.176883844666568
AT4G36730	regulates	AT5G11270	0.402194844437197
AT4G36780	regulates	AT5G11920	0.171772991377364
AT4G36780	regulates	AT5G12010	0.605934197587658
AT5G37020	regulates	AT5G14340	0.197240108577584
AT1G51140	regulates	AT5G14730	0.355186951688933
AT4G36780	regulates	AT5G14750	0.16113602651664
AT1G51140	regulates	AT5G14760	0.316489347797402
AT4G36730	regulates	AT5G15850	0.288358077458361
