Regulator	Interaction	Target	Weight
AT2G28450	regulates	AT1G17750	0.717022432613924
AT1G43700	regulates	AT1G19670	1
AT1G68640	regulates	AT1G49720	0.412298040956057
AT1G68640	regulates	AT1G51640	0.712235162085864
AT2G28450	regulates	AT1G68640	0.86582530534075
AT2G28450	regulates	AT1G79310	0.452963859125247
AT1G68640	regulates	AT2G28450	0.495822107381228
AT2G28450	regulates	AT2G28510	0.614734659479568
AT2G28450	regulates	AT2G41240	0.348373181895706
AT2G28450	regulates	AT2G41690	0.486528300663226
AT2G28450	regulates	AT3G07000	0.425071628041547
AT2G28450	regulates	AT3G14020	0.337166177104052
AT2G28450	regulates	AT3G15500	0.513818545054184
AT2G28450	regulates	AT3G17690	0.632741289969414
AT1G43700	regulates	AT3G23240	0.822969604362745
AT2G28450	regulates	AT3G53232	0.618551797783625
AT2G28450	regulates	AT4G00210	0.5391903787023
AT1G68640	regulates	AT4G00940	0.634716110327311
AT2G28450	regulates	AT4G31940	0.382946644793786
AT2G28450	regulates	AT4G36870	0.435205079315076
AT1G68640	regulates	AT5G01900	0.470559181589281
AT1G43700	regulates	AT5G02090	0.350791383865486
AT1G68640	regulates	AT5G24920	0.486332127573056
AT1G68640	regulates	AT5G48150	0.507694965368704
AT2G28450	regulates	AT5G64770	0.458165649273971
AT2G28450	regulates	AT5G65800	0.335770422583814
AT5G11260	regulates	AT1G02810	0.396920291380891
AT3G57920	regulates	AT1G07135	0.977522365817348
AT4G17230	regulates	AT1G18300	0.429562812955961
AT4G17230	regulates	AT1G19380	0.420647758351298
AT4G17230	regulates	AT1G19510	0.411055497740554
AT4G17230	regulates	AT1G20310	0.684816596352808
AT4G17230	regulates	AT1G20520	0.394712214417934
AT5G11260	regulates	AT1G24140	0.436333375276548
AT3G57920	regulates	AT1G27730	0.344841363340112
AT4G17230	regulates	AT1G30135	0.378931126342196
AT3G57920	regulates	AT1G50040	0.648041873177014
AT3G57920	regulates	AT1G72940	0.572287053305481
AT3G57920	regulates	AT1G74450	0.346460093566836
AT4G17230	regulates	AT1G74930	0.388694173523355
AT4G17230	regulates	AT2G15760	0.34649898351122
AT4G17230	regulates	AT2G22500	0.395865206875767
AT4G17230	regulates	AT2G22880	0.353850003294411
AT5G11260	regulates	AT2G25460	0.342990668190393
AT5G11260	regulates	AT2G35930	0.470142227594507
AT4G17230	regulates	AT2G37430	0.495112737622307
AT4G17230	regulates	AT2G39650	0.368218293428843
AT3G57920	regulates	AT3G02140	0.465625404346681
AT5G11260	regulates	AT3G11390	0.358766691755844
AT4G17230	regulates	AT3G16350	0.413518795418816
AT5G11260	regulates	AT3G20600	0.393520465808783
AT3G57920	regulates	AT3G23630	1
AT4G17230	regulates	AT3G25655	0.775028486816963
AT5G11260	regulates	AT3G29000	0.372219977302551
AT5G11260	regulates	AT3G45530	0.332288583068511
AT3G57920	regulates	AT3G47960	0.620805256611005
AT3G57920	regulates	AT3G50260	0.487614440082594
AT3G57920	regulates	AT3G50930	0.927988047268276
AT4G17230	regulates	AT3G61190	0.442119417147713
AT4G17230	regulates	AT4G01120	0.378469220053621
AT5G11260	regulates	AT4G03400	0.468475638680791
AT4G17230	regulates	AT4G20860	0.398802625788776
AT3G57920	regulates	AT4G21200	0.349709444681952
AT4G17230	regulates	AT4G21840	0.415319358327457
AT5G11260	regulates	AT4G24150	0.357011386723244
AT4G17230	regulates	AT4G24380	0.42008228928477
AT3G57920	regulates	AT4G24570	0.811636434426173
AT3G57920	regulates	AT4G25470	0.337296959502115
AT3G57920	regulates	AT4G27652	0.350324822740206
AT4G17230	regulates	AT4G31800	0.471235956224004
AT5G11260	regulates	AT4G33280	0.343362324323123
AT4G17230	regulates	AT4G35660	0.524189264988227
AT5G11260	regulates	AT5G01100	0.331651731143735
AT4G17230	regulates	AT5G05410	0.380626478390711
AT4G17230	regulates	AT5G11260	0.344610259030895
