,original_rf_10000,threshold_rf_10000,threshold_gbt_10000,original_rf_1000,threshold_rf_1000,threshold_gbt_1000,original_rf_100,threshold_rf_100,threshold_gbt_100
AT1G04990-AT5G37260,0.702524526219228,0.0,0.0,0.656688201050225,0.0,0.0,0.609917359682406,0.0,0.0
AT1G04990-AT3G52740,0.0,0.9625651177604352,0.9424908272814,0.0,0.9386289743216688,0.934687415612118,0.0,0.7368421052631579,0.7497911318654203
AT5G37020-AT2G28550,0.0,0.3997895581681566,0.0,0.0,0.4476657149694292,0.0,0.767713675763411,0.4339314472483153,0.3379709253759168
AT1G68640-AT3G07000,0.0,0.3928451534145309,0.0,0.0,0.4353588057236586,0.0,0.0,0.0,0.0
AT1G30330-AT1G04990,0.0,0.392974145165177,0.392974145165177,0.0,0.392974145165177,0.392974145165177,0.0,0.392974145165177,0.392974145165177
AT1G51140-AT5G12010,0.0,0.627216450505735,0.5559007480318259,0.0,0.5970635049924461,0.5453559075650593,0.0,0.8421052631578948,0.6178418577842247
AT5G63470-AT2G46650,0.0,0.0,0.0,0.348047815323888,0.0,0.0,0.0,0.0,0.0
AT5G37020-AT3G47500,0.0,0.0,0.0,0.0,0.0,0.0,0.441137524535981,0.0,0.0
AT2G36080-AT2G16365,0.0,0.9836441568154134,0.8038131467692992,0.0,0.9943953504602004,0.7922147836422141,0.0,1.0,0.7579786029778608
AT1G30330-AT2G35270,0.0,0.7994631489719929,0.4478753857689643,0.0,0.7830075205393568,0.4877248188219783,0.680887630753281,0.6473221916767958,0.4917137301607958
AT1G01260-AT4G17230,0.0,0.361158733706407,0.361158733706407,0.0,0.361158733706407,0.361158733706407,0.0,0.361158733706407,0.361158733706407
AT1G30330-AT1G30040,0.0,0.0,0.0,0.0,0.0,0.0,0.408238172767801,0.0,0.0
AT3G48590-AT4G32890,0.0,0.0,0.0,0.0,0.0,0.0,0.451367158344541,0.0,0.0
AT1G51140-AT2G36870,0.0,0.3421217136892733,0.0,0.33645272212456,0.0,0.0,0.714026985621191,0.3451408390254422,0.0
AT1G51140-AT3G21890,0.0,0.7223303010982731,0.719853834939238,0.0,0.6947881147919709,0.7229717516427709,0.0,0.7844957029324333,0.6742129717892761
AT1G51140-AT1G07160,0.0,0.6050620733512048,0.6696338578930231,0.0,0.5853421544017035,0.6521639336669717,0.0,0.7739536873644906,0.4969753110847043
AT3G48590-AT4G31380,0.0,0.358339994094254,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT5G37020-AT4G24415,0.0,0.4230862465732051,0.0,0.0,0.4540170402546725,0.0,0.430204347730636,0.3684210526315789,0.5007510985344816
AT5G06110-AT2G33480,0.0,0.0,0.0,0.0,0.0,0.0,0.508969603296891,0.0,0.3398920577950464
AT3G48590-AT3G51910,0.0,0.0,0.0,0.0,0.0,0.0,0.535115684676065,0.0,0.0
AT5G63470-AT5G65320,0.0,0.4278046829058919,0.3483366533719966,0.0,0.4846015032330724,0.346130229151737,0.0,0.5263157894736842,0.4241223962577947
AT4G36780-AT2G16660,0.0,0.3776762050255569,0.0,0.0,0.36198012045026,0.0,0.0,0.0,0.0
AT1G58100-AT4G13790,0.0,0.0,0.0,0.0,0.3607258675996028,0.0,0.0,0.4210526315789474,0.0
AT4G36780-AT1G78450,0.0,0.0,0.0,0.353811091409773,0.3316816387787211,0.0,0.0,0.0,0.0
AT1G51140-AT4G11660,0.0,0.4626707989209778,0.0,0.0,0.4913335093167004,0.0,0.0,0.5263157894736842,0.0
AT5G37020-AT1G64500,0.0,0.3378909498407467,0.0,0.0,0.0,0.0,0.362326837564414,0.0,0.0
AT5G06110-AT3G58190,0.0,0.3649780413578442,0.0,0.0,0.3346952965233636,0.0,0.385060894256898,0.0,0.4038870554526375
