Feature,Importance,Target Gene
AT1G51140,0.40220536208581203,AT1G01060
AT4G36730,0.11035484290555476,AT1G01060
AT4G36780,0.2734021630067748,AT1G01060
AT5G37020,0.21403763200185838,AT1G01060
AT1G01260,0.10618347759346292,AT1G01260
AT1G58100,0.32534702014034356,AT1G01260
AT3G48590,0.12291683258913629,AT1G01260
AT5G06110,0.31868017657845893,AT1G01260
AT5G63470,0.1268724930985983,AT1G01260
AT1G51140,0.23869289637139376,AT1G01520
AT4G36730,0.2750938131335223,AT1G01520
AT4G36780,0.3094030222603613,AT1G01520
AT5G37020,0.17681026823472257,AT1G01520
AT1G43700,0.6694510357511283,AT1G01580
AT1G68640,0.1334122899649195,AT1G01580
AT2G28450,0.1971366742839522,AT1G01580
AT1G51140,0.38270928661304554,AT1G02030
AT4G36730,0.3537237426282133,AT1G02030
AT4G36780,0.1719737255505202,AT1G02030
AT5G37020,0.09159324520822092,AT1G02030
AT1G51140,0.3389121276638047,AT1G02340
AT4G36730,0.1676185270807561,AT1G02340
AT4G36780,0.24073747941428153,AT1G02340
AT5G37020,0.2527318658411578,AT1G02340
AT3G57920,0.2840938518624515,AT1G02810
AT4G17230,0.4982501387454343,AT1G02810
AT5G11260,0.2176560093921143,AT1G02810
AT1G51140,0.08845875596928147,AT1G03170
AT4G36730,0.31073035682363737,AT1G03170
AT4G36780,0.5180415340511709,AT1G03170
AT5G37020,0.08276935315591032,AT1G03170
AT1G04990,0.41441957283519837,AT1G04990
AT1G30330,0.12613682144618732,AT1G04990
AT2G36080,0.45944360571861415,AT1G04990
AT1G51140,0.28452202140565463,AT1G05420
AT4G36730,0.30945793096347435,AT1G05420
AT4G36780,0.2339074379863907,AT1G05420
AT5G37020,0.1721126096444803,AT1G05420
AT1G51140,0.401953295230916,AT1G05710
AT4G36730,0.1561967486977366,AT1G05710
AT4G36780,0.22576307729735715,AT1G05710
AT5G37020,0.21608687877399027,AT1G05710
AT1G43700,0.6624190894772083,AT1G05805
AT1G68640,0.17195544177436367,AT1G05805
AT2G28450,0.1656254687484281,AT1G05805
AT1G04990,0.15456370154254875,AT1G06002
AT1G30330,0.1413515385155734,AT1G06002
AT2G36080,0.7040847599418778,AT1G06002
AT1G51140,0.2699990283360081,AT1G06040
AT4G36730,0.17332575492225782,AT1G06040
AT4G36780,0.1958826615034439,AT1G06040
AT5G37020,0.36079255523829007,AT1G06040
AT1G51140,0.3061799132621723,AT1G07010
AT4G36730,0.14306632442354514,AT1G07010
AT4G36780,0.3207797483827135,AT1G07010
AT5G37020,0.22997401393156902,AT1G07010
AT1G51140,0.4959651336269276,AT1G07128
AT4G36730,0.1774915390411079,AT1G07128
AT4G36780,0.11897606510312841,AT1G07128
AT5G37020,0.20756726222883604,AT1G07128
AT3G57920,0.2896876799104406,AT1G07135
AT4G17230,0.43107053881084906,AT1G07135
AT5G11260,0.27924178127871047,AT1G07135
AT1G04990,0.5919362384463964,AT1G07150
AT1G30330,0.22728294046834527,AT1G07150
AT2G36080,0.18078082108525825,AT1G07150
AT1G51140,0.5256296584711422,AT1G07160
AT4G36730,0.07943106028190143,AT1G07160
AT4G36780,0.1317091018364041,AT1G07160
AT5G37020,0.2632301794105523,AT1G07160
AT1G04990,0.20917604147388696,AT1G07620
AT1G30330,0.5638122327378933,AT1G07620
AT2G36080,0.22701172578821965,AT1G07620
AT1G01260,0.1531729963122626,AT1G07640
AT1G58100,0.2173161213856965,AT1G07640
AT3G48590,0.1732256015258003,AT1G07640
AT5G06110,0.2833057650343955,AT1G07640
AT5G63470,0.17297951574184506,AT1G07640
AT1G04990,0.26830893430395947,AT1G07690
AT1G30330,0.3719935728148444,AT1G07690
AT2G36080,0.3596974928811962,AT1G07690
AT1G01260,0.09399981623229788,AT1G08000
AT1G58100,0.3309066133878041,AT1G08000
AT3G48590,0.11882702210659037,AT1G08000
AT5G06110,0.3428028200374458,AT1G08000
AT5G63470,0.1134637282358618,AT1G08000
AT1G43700,0.6482033572723653,AT1G08920
AT1G68640,0.18355307678245766,AT1G08920
AT2G28450,0.16824356594517692,AT1G08920
AT3G57920,0.4230034946621926,AT1G09070
AT4G17230,0.30077113230127617,AT1G09070
AT5G11260,0.2762253730365313,AT1G09070
AT1G04990,0.2403387935945428,AT1G09540
AT1G30330,0.4480901993348924,AT1G09540
AT2G36080,0.3115710070705648,AT1G09540
AT3G57920,0.2620429105948742,AT1G09950
AT4G17230,0.26045778203855463,AT1G09950
AT5G11260,0.47749930736657115,AT1G09950
AT1G51140,0.5521701346116406,AT1G10120
AT4G36730,0.1293959653894182,AT1G10120
AT4G36780,0.07363346801495498,AT1G10120
AT5G37020,0.24480043198398624,AT1G10120
AT1G51140,0.2842734736839327,AT1G10370
AT4G36730,0.16088299487433863,AT1G10370
