Feature,Importance,Target Gene
AT3G57920,0.2692307692307692,AT1G02810
AT4G17230,0.5694805518236148,AT1G02810
AT5G11260,0.161288678945616,AT1G02810
AT3G57920,0.08103776498422367,AT1G07135
AT4G17230,0.46153846153846156,AT1G07135
AT5G11260,0.45742377347731483,AT1G07135
AT3G57920,0.34615384615384615,AT1G09070
AT4G17230,0.3076923076923077,AT1G09070
AT5G11260,0.34615384615384615,AT1G09070
AT3G57920,0.276862191547197,AT1G09950
AT4G17230,0.12174043495142103,AT1G09950
AT5G11260,0.601397373501382,AT1G09950
AT3G57920,0.5384615384615384,AT1G12610
AT4G17230,0.34615384615384615,AT1G12610
AT5G11260,0.11538461538461539,AT1G12610
AT3G57920,0.11538461538461539,AT1G18300
AT4G17230,0.3076923076923077,AT1G18300
AT5G11260,0.5769230769230769,AT1G18300
AT3G57920,0.2692307692307692,AT1G19380
AT4G17230,0.11538461538461539,AT1G19380
AT5G11260,0.6153846153846154,AT1G19380
AT3G57920,0.08347885282611377,AT1G19510
AT4G17230,0.19230769230769232,AT1G19510
AT5G11260,0.7242134548661939,AT1G19510
AT3G57920,0.2692307692307692,AT1G20310
AT4G17230,0.15384615384615385,AT1G20310
AT5G11260,0.5769230769230769,AT1G20310
AT3G57920,0.23076923076923078,AT1G20520
AT4G17230,0.11538461538461539,AT1G20520
AT5G11260,0.6538461538461539,AT1G20520
AT3G57920,0.46153846153846156,AT1G24140
AT4G17230,0.5384615384615384,AT1G24140
AT5G11260,0.0,AT1G24140
AT3G57920,0.17385310908437296,AT1G27730
AT4G17230,0.39815355770695177,AT1G27730
AT5G11260,0.4279933332086752,AT1G27730
AT3G57920,0.23076923076923078,AT1G30135
AT4G17230,0.11538461538461539,AT1G30135
AT5G11260,0.6538461538461539,AT1G30135
AT3G57920,0.38461538461538464,AT1G35210
AT4G17230,0.5,AT1G35210
AT5G11260,0.11538461538461539,AT1G35210
AT3G57920,0.0,AT1G50040
AT4G17230,0.550888887898911,AT1G50040
AT5G11260,0.449111112101089,AT1G50040
AT3G57920,0.2814039655486861,AT1G61840
AT4G17230,0.4728916715035686,AT1G61840
AT5G11260,0.24570436294774528,AT1G61840
AT3G57920,0.3076923076923077,AT1G66160
AT4G17230,0.5,AT1G66160
AT5G11260,0.19230769230769232,AT1G66160
AT3G57920,0.0,AT1G72940
AT4G17230,0.47264003723047104,AT1G72940
AT5G11260,0.5273599627695289,AT1G72940
AT3G57920,0.0,AT1G74450
AT4G17230,0.590768568790177,AT1G74450
AT5G11260,0.40923143120982297,AT1G74450
AT3G57920,0.2692307692307692,AT1G74930
AT4G17230,0.3183462446815884,AT1G74930
AT5G11260,0.4124229860876424,AT1G74930
AT3G57920,0.5,AT2G15760
AT4G17230,0.2692307692307692,AT2G15760
AT5G11260,0.23076923076923078,AT2G15760
AT3G57920,0.34615384615384615,AT2G22500
AT4G17230,0.07692307692307693,AT2G22500
AT5G11260,0.5769230769230769,AT2G22500
AT3G57920,0.38461538461538464,AT2G22880
AT4G17230,0.11538461538461539,AT2G22880
AT5G11260,0.5,AT2G22880
AT3G57920,0.4927691738000791,AT2G25460
AT4G17230,0.46876928773838245,AT2G25460
AT5G11260,0.038461538461538464,AT2G25460
AT3G57920,0.23076923076923078,AT2G27080
AT4G17230,0.5,AT2G27080
AT5G11260,0.2692307692307692,AT2G27080
AT3G57920,0.4230769230769231,AT2G30040
AT4G17230,0.15384615384615385,AT2G30040
AT5G11260,0.4230769230769231,AT2G30040
AT3G57920,0.119580436190726,AT2G35290
AT4G17230,0.46153846153846156,AT2G35290
AT5G11260,0.41888110227081243,AT2G35290
AT3G57920,0.34615384615384615,AT2G35710
AT4G17230,0.5384615384615384,AT2G35710
AT5G11260,0.11538461538461539,AT2G35710
AT3G57920,0.46153846153846156,AT2G35930
AT4G17230,0.3076923076923077,AT2G35930
AT5G11260,0.23076923076923078,AT2G35930
AT3G57920,0.15384615384615385,AT2G37430
AT4G17230,0.3076923076923077,AT2G37430
AT5G11260,0.5384615384615384,AT2G37430
AT3G57920,0.5,AT2G39650
AT4G17230,0.23076923076923078,AT2G39650
AT5G11260,0.2692307692307692,AT2G39650
AT3G57920,0.2692307692307692,AT2G40140
AT4G17230,0.5,AT2G40140
AT5G11260,0.23076923076923078,AT2G40140
AT3G57920,0.19230769230769232,AT3G02140
AT4G17230,0.5902946554009719,AT3G02140
AT5G11260,0.21739765229133573,AT3G02140
AT3G57920,0.3076923076923077,AT3G11390
AT4G17230,0.530994371060406,AT3G11390
AT5G11260,0.1613133212472863,AT3G11390
AT3G57920,0.34615384615384615,AT3G16350
AT4G17230,0.15384615384615385,AT3G16350
AT5G11260,0.5,AT3G16350
AT3G57920,0.5384615384615384,AT3G16860
AT4G17230,0.2692307692307692,AT3G16860
AT5G11260,0.19230769230769232,AT3G16860
AT3G57920,0.5769230769230769,AT3G20600
AT4G17230,0.19230769230769232,AT3G20600
AT5G11260,0.23076923076923078,AT3G20600
