"","AT1G30330","AT1G51140","AT1G58100","AT2G28450","AT4G17230"
"AT1G30330",NA,NA,NA,0.254821657204757,NA
"AT1G51140",0,NA,NA,NA,NA
"AT1G58100",1,NA,NA,NA,NA
"AT2G28450",NA,NA,0.162471447127892,NA,NA
"AT4G17230",NA,NA,0.271786919650087,NA,NA
